"type","p_DOTEZAC","p_GRAMONT","p_LATOUR","p_TALLEYRAND","f_DOTEZAC","f_GRAMONT","f_LATOUR","f_TALLEYRAND"
"a",0,0,0.02,0,0,0,2,0
"e",0.04,0.11,0,0.08,3,15,0,12
"ea",0,0,0,0.01,0,0,0,1
"eai",0.01,0,0,0,1,0,0,0
"ef",0.05,0.03,0.02,0.03,4,4,2,5
"efa",0,0,0.01,0,0,0,1,0
"efi",0,0.01,0,0,0,1,0,0
"efo",0,0,0.04,0.01,0,0,4,2
"efoi",0,0,0,0.01,0,0,0,1
"efor",0,0,0.01,0,0,0,1,0
"eforpa",0.01,0,0,0,1,0,0,0
"ei",0.19,0.06,0.02,0.05,14,8,2,8
"eo",0.26,0.19,0.11,0.13,19,25,12,20
"eof",0,0,0.02,0,0,0,2,0
"eoi",0.01,0.05,0,0.03,1,6,0,4
"eop",0,0,0.01,0,0,0,1,0
"eor",0,0,0.02,0.02,0,0,2,3
"eori",0,0,0.02,0.01,0,0,2,2
"eorp",0.01,0,0,0,1,0,0,0
"eorpa",0,0,0.01,0,0,0,1,0
"ep",0,0.01,0.01,0.01,0,1,1,2
"epi",0,0.01,0,0,0,1,0,0
"er",0,0,0.03,0.01,0,0,3,2
"era",0,0,0,0.01,0,0,0,1
"eri",0,0.01,0.01,0,0,1,1,0
"erp",0,0,0,0.01,0,0,0,1
"erpai",0,0,0,0.01,0,0,0,1
"erpi",0,0,0,0.01,0,0,0,1
"f",0.11,0.11,0.22,0.08,8,14,24,13
"fi",0.03,0,0,0,2,0,0,0
"fo",0,0,0.02,0.01,0,0,2,2
"foi",0,0.01,0,0,0,1,0,0
"for",0,0,0.01,0,0,0,1,0
"i",0.07,0.03,0.06,0.01,5,4,7,1
"o",0.19,0.38,0.31,0.4,14,50,34,61
"oe",0,0.01,0,0,0,1,0,0
"of",0,0,0.01,0,0,0,1,0
"oi",0,0,0.02,0.01,0,0,2,1
"op",0,0,0,0.01,0,0,0,2
"or",0.01,0,0.01,0.01,1,0,1,1
"p",0,0,0,0.01,0,0,0,1
"r",0,0,0.01,0.01,0,0,1,1
"ra",0,0,0.01,0.02,0,0,1,3
"rp",0,0,0,0.01,0,0,0,1
